"Month_Day","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Mean","Median","Maximum","Minimum"
"03-26",24.0288899999989,37.7609999999978,44.2110699999977,31.3140000000022,32.8490000000022,35.2098299999933,29.3584099999978,41.6046399999993,40.8340699999983,36.03873,30.9179699999978,34.9206918181805,35.2098299999933,44.2110699999977,24.0288899999989
"03-27",28.2747000000022,45.7429999999989,40.3121700000045,31.6209999999978,33.1559999999978,38.5714800000067,35.7962000000022,41.0649340000014,38.88155,40.68364,32.7845300000025,36.9899276363649,38.5714800000067,45.7429999999989,28.2747000000022
"03-28",31.0069999999983,43.9010000000034,44.7544599999955,31.9279999999933,43.5940000000022,43.4957599999978,36.5422099999933,32.52358,36.2167900000006,42.88483,32.4867399999982,38.1213063636348,36.5422099999933,44.7544599999955,31.0069999999983
"03-29",30.2180099999994,37.7609999999978,54.47101,30.7,40.5240000000022,38.6451600000045,40.19244,37.23296,36.6465900000017,43.60628,31.6609100000001,38.3325781818187,37.7609999999978,54.47101,30.2180099999994
"03-30",28.1304100000006,32.5420000000011,62.9810500000033,32.235,38.375,38.99514,36.0264500000022,43.5111100000007,36.8983299999983,38.23992,32.3731500000018,38.2097781818189,36.8983299999983,62.9810500000033,28.1304100000006
"03-31",28.8580000000017,38.375,51.7602000000011,36.84,31.6209999999978,45.5587999999911,31.26488,46.05,36.6158900000017,37.43251,33.610359999998,37.9987854545447,36.84,51.7602000000011,28.8580000000017
"04-01",28.5509999999978,42.98,64.6296399999989,32.5420000000067,38.375,40.9630100000067,32.235,35.305,36.1031999999978,40.62531,45.9579000000014,39.8424600000008,38.375,64.6296399999989,28.5509999999978
"04-02",29.165,52.8039999999966,46.27104,33.77,42.0590000000022,35.7348,34.3840000000022,37.4539999999994,36.4777400000006,43.36989,39.0411899999984,39.1391509090909,37.4539999999994,52.8039999999966,29.165
"04-03",29.165,49.4546300000022,36.3702899999978,31.9279999999933,37.7609999999978,35.5536699999978,38.0680000000045,42.98,39.2622300000017,43.08131,40.7235500000009,38.5770618181814,38.0680000000045,49.4546300000022,29.165
"04-04",31.3140000000022,35.1821999999978,35.1729900000033,33.4630000000045,28.8579999999933,35.8207600000022,35.9189999999911,32.8490000000008,40.3612899999994,39.66133,38.0434399999987,35.1495463636358,35.1821999999978,40.3612899999994,28.8579999999933
"04-05",31.3139999999994,35.6120000000011,34.0769999999955,30.7,29.165,42.6453699999955,42.6730000000045,30.0859999999992,40.3183099999994,44.50272,43.56637,36.7872518181813,35.6120000000011,44.50272,29.165
"04-06",30.7,38.0679999999989,41.7919100000022,34.6909999999978,42.3660000000089,45.8381700000067,34.0769999999955,35.305,44.5456999999989,45.48512,45.8044000000005,39.8793000000008,41.7919100000022,45.8381700000067,30.7
"04-07",27.3721199999989,37.7610000000033,48.9450100000011,34.9980000000045,41.1379999999933,44.8066499999978,39.91,39.91,38.9644400000006,46.34165,49.0156199999999,40.8329536363636,39.91,49.0156199999999,27.3721199999989
"04-08",28.6001200000006,41.7704200000011,56.2178399999989,37.7609999999978,34.6909999999978,46.4398899999956,39.6030000000045,42.98,37.7978400000006,49.58664,44.7882299999994,41.8396345454542,41.7704200000011,56.2178399999989,28.6001200000006
"04-09",30.3929999999989,47.8919999999955,56.2485399999978,36.2259999999978,41.445,39.4372199999978,50.655,41.1380000000003,32.08764,44.60403,44.1281800000015,42.2049645454536,41.445,56.2485399999978,30.3929999999989
"04-10",32.8490000000022,38.6820000000011,77.7815200000022,28.5509999999978,42.98,44.61631,42.3659999999978,46.9710000000006,41.1379999999989,40.217,42.0190900000005,43.4700836363637,42.0190900000005,77.7815200000022,28.5509999999978
"04-11",36.2259999999978,58.6370000000011,63.9665200000011,30.7,42.98,49.12614,43.2870000000067,42.3659999999992,47.8920000000011,34.3840000000001,47.7968299999997,45.2146809090915,43.2870000000067,63.9665200000011,30.7
"04-12",35.9190000000022,57.4090000000022,48.49065,31.6210000000089,42.6730000000045,60.1443700000089,35.6119999999955,47.8920000000011,49.7339999999994,40.524,38.6267399999996,44.4223418181839,42.6730000000045,60.1443700000089,31.6210000000089
"04-13",34.9979999999989,41.1379999999989,54.4525899999989,32.8489999999911,38.375,48.1713699999911,36.2259999999978,57.1019999999997,38.6820000000011,41.138,39.0596099999986,42.0174154545433,39.0596099999986,57.1019999999997,32.8489999999911
"04-14",34.6910000000006,39.6029999999989,56.5678200000011,34.6910000000089,41.445,58.0230000000045,44.515,65.6980000000003,35.6119999999983,42.059,35.4308700000017,44.3941536363649,41.445,65.6980000000003,34.6910000000006
"04-15",38.375,44.515,45.4175799999989,34.3839999999911,30.7,51.5759999999978,38.375,55.26,42.3660000000006,42.98,40.2691899999983,42.2016154545442,42.3660000000006,55.26,30.7
"04-16",37.7610000000006,47.2779999999989,48.49065,31.9280000000045,34.6909999999978,40.8309999999978,32.5420000000067,66.3119999999997,46.05,47.8920000000001,44.6377999999999,43.4921318181823,44.6377999999999,66.3119999999997,31.9280000000045
"04-17",35.305,50.9620000000011,56.60773,29.4719999999955,47.1306400000067,34.9980000000045,30.3929999999933,64.47,49.7339999999994,42.98,30.7,42.9774881818182,42.98,64.47,29.4719999999955
